A788;Chilli Cheese Nugets;4.90;4
A702;Long Chicken;6.40;1
A440;King Fries Cheese & Bacon, Onion Rings;6.90;6
A624;Whooper Menu + Cheeseburger;15.90;1
A625;Long chicken Menu Medium + Onion Rings;15;6
A789;King Shake + King Fries;5.90;1
A790;Big King Menu Medium;11.90;1
A703;Whopper Junior Menu Medium + Extra long Chili Cheese;19.90;1
A791;Mini King Fusion Nutella;1.90;1
